Regiosoort,Regionaam,23/03/2020,22/03/2020,21/03/2020,20/03/2020,19/03/2020,18/03/2020,17/03/2020,16/03/2020,15/03/2020,14/03/2020,13/03/2020,12/03/2020,11/03/2020,10/03/2020,09/03/2020,08/03/2020,07/03/2020,06/03/2020,05/03/2020,04/03/2020,03/03/2020,02/03/2020,01/03/2020
Gemeente,Sint Anthonis,13,13,12,10,8,5,4,3,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Gemeente,Sint Michielsgestel,14,14,12,12,10,10,8,8,6,6,5,5,5,5,5,5,3,2,1,0,0,0,0
Gemeente,Sittard Geleen,61,59,58,58,51,51,42,38,37,35,23,20,20,13,8,7,4,4,2,0,0,0,0
Gemeente,Sliedrecht,3,3,3,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gemeente,Sluis,4,4,3,3,2,2,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gemeente,Smallingerland,3,3,3,3,3,3,3,3,3,2,1,1,1,0,0,0,0,0,0,0,0,0,0
Gemeente,Soest,16,16,15,14,13,12,11,10,8,8,8,8,8,8,7,7,7,6,4,0,0,0,0
Gemeente,Someren,7,6,5,5,3,3,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Gemeente,Son en Breugel,10,10,8,7,5,4,4,4,2,2,2,1,1,0,0,0,0,0,0,0,0,0,0
Gemeente,Stadskanaal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gemeente,Staphorst,4,3,3,3,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Gemeente,Stede Broec,8,5,5,3,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gemeente,Steenbergen,8,8,5,4,4,2,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gemeente,Steenwijkerland,4,3,3,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gemeente,Stein,9,6,5,5,4,4,3,3,3,3,1,1,1,0,0,0,0,0,0,0,0,0,0
Gemeente,Stichtse Vecht,13,12,10,10,10,9,8,7,7,6,6,5,5,5,5,5,4,3,2,0,0,0,0
Gemeente,Súdwest Fryslân,5,5,4,2,2,2,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
Gemeente,Terneuzen,6,5,5,5,4,3,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Gemeente,Terschelling,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gemeente,Texel,3,3,3,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gemeente,Teylingen,7,7,5,3,2,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gemeente,Tholen,8,7,7,2,2,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gemeente,Tiel,6,5,4,4,4,4,4,4,3,2,2,2,1,1,1,0,0,0,0,0,0,0,0
